age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi,total_monthly_expenses,disposable_income,debt_to_income_ratio,expense_to_income_ratio,affordability_ratio,savings_ratio,employment_stability_score,credit_risk_score,financial_health_score,implied_current_emi_burden_ratio
38.0,Male,Married,Graduate,53400.0,Government,0.5,Large Indian,Own,0.0,3,2,0.0,7800.0,7800.0,13600.0,9300.0,No,0.0,795.0,227600.0,78800.0,Personal Loan EMI,70000.0,39,Eligible,8940.0,38500.0,14900.0,0.0,0.7209737827715356,0.2790262172284644,5.737827715355805,0.6,0.9,0.8258052434456931,0.0
48.0,Female,Married,Post Graduate,75200.0,Self-employed,17.9,Large Indian,Family,0.0,3,2,0.0,18600.0,7700.0,18900.0,6400.0,No,0.0,781.0,342400.0,83400.0,E-commerce Shopping EMI,168000.0,24,Eligible,12744.0,51600.0,23600.0,0.0,0.6861702127659575,0.3138297872340425,5.662234042553192,14.32,0.8745454545454545,0.8251295938104448,0.0
38.0,Female,Married,Post Graduate,73600.0,Private,12.1,Startup,Own,0.0,2,1,4900.0,0.0,7800.0,14200.0,7400.0,No,0.0,631.0,204300.0,63100.0,Home Appliances EMI,143000.0,19,Eligible,15720.0,34300.0,39300.0,0.0,0.4660326086956521,0.5339673913043478,3.633152173913044,12.1,0.6018181818181818,0.7053280632411068,0.0
58.0,Female,Married,Post Graduate,109800.0,Private,13.9,Mid-size,Own,0.0,3,2,12100.0,0.0,16400.0,25100.0,5700.0,No,0.0,744.0,445600.0,177800.0,E-commerce Shopping EMI,193000.0,20,Eligible,25250.0,59300.0,50500.0,0.0,0.5400728597449909,0.4599271402550091,5.6775956284153,13.9,0.8072727272727273,0.83416724623282,0.0
27.0,Male,Single,Post Graduate,161600.0,Private,0.5,Large Indian,Own,0.0,1,0,0.0,0.0,8600.0,34900.0,21500.0,Yes,41100.0,687.0,465400.0,266700.0,E-commerce Shopping EMI,28000.0,13,Eligible,15540.0,106100.0,55500.0,0.2543316831683168,0.656559405940594,0.3434405940594059,4.530321782178218,0.5,0.5536363636363636,0.7065983348334833,10.0
48.0,Male,Married,Graduate,57600.0,Private,12.3,Mid-size,Family,0.0,4,3,5300.0,0.0,5200.0,17100.0,11400.0,No,0.0,734.0,442700.0,256000.0,E-commerce Shopping EMI,19000.0,6,Eligible,10230.0,39000.0,18600.0,0.0,0.6770833333333334,0.3229166666666667,12.130208333333334,12.3,0.7890909090909091,0.8013106060606061,0.0
32.0,Male,Married,Professional,82700.0,Private,6.9,MNC,Family,0.0,4,3,0.0,0.0,11300.0,19400.0,10900.0,Yes,23000.0,783.0,447800.0,206500.0,Home Appliances EMI,138000.0,33,Eligible,7602.0,64600.0,18100.0,0.2781136638452237,0.781136638452237,0.218863361547763,7.911729141475211,6.9,0.7281818181818182,0.7622272177640981,5.5
32.0,Male,Married,Graduate,59800.0,Private,1.8,Large Indian,Own,0.0,3,2,0.0,0.0,5000.0,15200.0,9900.0,No,0.0,645.0,147900.0,87400.0,Education EMI,77000.0,36,Eligible,11880.0,30100.0,29700.0,0.0,0.5033444816053512,0.4966555183946488,3.934782608695652,1.8,0.6272727272727273,0.7235998783824871,0.0
48.0,Female,Married,Graduate,60400.0,Private,13.0,Mid-size,Family,0.0,3,2,0.0,0.0,7900.0,10700.0,9900.0,No,0.0,705.0,137700.0,45900.0,Education EMI,121000.0,24,Eligible,15950.0,28500.0,31900.0,0.0,0.4718543046357616,0.5281456953642384,3.0397350993377485,13.0,0.7363636363636363,0.7089223359422034,0.0
32.0,Male,Single,Professional,47000.0,Private,0.5,Startup,Family,0.0,1,0,0.0,0.0,4400.0,13400.0,2500.0,Yes,11800.0,669.0,264000.0,75700.0,Personal Loan EMI,83000.0,36,Eligible,4172.0,32100.0,14900.0,0.251063829787234,0.6829787234042554,0.3170212765957447,7.227659574468085,0.5,0.5209090909090909,0.7196769825918763,5.118072289156626
38.0,Male,Married,Professional,29600.0,Private,8.7,Large Indian,Own,0.0,3,2,0.0,0.0,1600.0,5600.0,2400.0,Yes,8700.0,655.0,78000.0,31000.0,E-commerce Shopping EMI,25000.0,13,Eligible,3955.0,18300.0,11300.0,0.2939189189189189,0.6182432432432432,0.3817567567567567,3.682432432432433,8.7,0.4954545454545455,0.645933660933661,4.524
32.0,Female,Married,Graduate,43100.0,Private,1.9,Startup,Family,0.0,3,2,4600.0,0.0,5300.0,11200.0,4500.0,No,0.0,676.0,293200.0,115000.0,E-commerce Shopping EMI,73000.0,18,Eligible,9625.0,25600.0,17500.0,0.0,0.5939675174013921,0.4060324825986079,9.470997679814383,1.9,0.6836363636363636,0.7862974056106307,0.0
38.0,Female,Single,Graduate,94900.0,Government,5.0,Mid-size,Rented,17000.0,2,1,0.0,0.0,6400.0,20000.0,13500.0,Yes,22300.0,693.0,262400.0,84800.0,E-commerce Shopping EMI,11000.0,12,Eligible,6044.5,79200.0,15700.0,0.2349841938883034,0.8345626975763962,0.1654373024236038,3.658587987355111,6.0,0.5645454545454546,0.6219663760896638,10.0
38.0,Male,Married,Professional,57600.0,Private,6.3,MNC,Family,0.0,4,3,4400.0,0.0,5700.0,9900.0,7300.0,Yes,7700.0,736.0,138800.0,59200.0,Education EMI,62000.0,15,Eligible,7910.0,35000.0,22600.0,0.1336805555555555,0.6076388888888888,0.3923611111111111,3.4375,6.3,0.6427272727272727,0.677540404040404,1.862903225806452
38.0,Male,Married,Professional,80800.0,Private,1.3,MNC,Own,0.0,4,3,0.0,0.0,5200.0,14000.0,8800.0,No,0.0,730.0,397200.0,106300.0,Home Appliances EMI,292000.0,21,Eligible,26400.0,28000.0,52800.0,0.0,0.3465346534653465,0.6534653465346535,6.231435643564357,1.3,0.7818181818181819,0.8652385238523854,0.0
58.0,Female,Married,Graduate,63600.0,Private,7.8,MNC,Family,0.0,2,1,9900.0,0.0,8000.0,13900.0,5000.0,No,0.0,591.0,500400.0,229500.0,Home Appliances EMI,110000.0,19,Eligible,11792.0,36800.0,26800.0,0.0,0.5786163522012578,0.4213836477987421,11.476415094339623,7.8,0.5290909090909091,0.7430040022870212,0.0
48.0,Male,Married,Graduate,72000.0,Private,2.0,MNC,Family,0.0,4,3,13000.0,0.0,5500.0,20700.0,3600.0,Yes,20400.0,717.0,213600.0,82700.0,E-commerce Shopping EMI,17000.0,22,Eligible,3080.0,63200.0,8800.0,0.2833333333333333,0.8777777777777778,0.1222222222222222,4.115277777777778,2.0,0.6081818181818182,0.6538156565656565,10.0
27.0,Female,Single,Graduate,60200.0,Private,3.0,Mid-size,Own,0.0,3,2,0.0,0.0,4100.0,16600.0,9200.0,No,0.0,727.0,404900.0,87300.0,Home Appliances EMI,280000.0,35,Eligible,16665.0,29900.0,30300.0,0.0,0.4966777408637873,0.5033222591362126,8.17607973421927,3.0,0.7763636363636364,0.8335735427363336,0.0
38.0,Female,Married,Graduate,73500.0,Private,9.9,Mid-size,Family,0.0,3,2,4200.0,0.0,9000.0,13100.0,14200.0,No,0.0,697.0,153600.0,73100.0,Home Appliances EMI,181000.0,15,Eligible,16500.0,40500.0,33000.0,0.0,0.5510204081632653,0.4489795918367347,3.0843537414965985,9.9,0.7218181818181818,0.6914025974025974,0.0
32.0,Female,Single,Post Graduate,63500.0,Private,10.0,Large Indian,Family,0.0,2,1,0.0,0.0,4800.0,17100.0,9000.0,No,0.0,833.0,359700.0,153100.0,E-commerce Shopping EMI,12000.0,7,Eligible,19560.0,30900.0,32600.0,0.0,0.4866141732283464,0.5133858267716536,8.075590551181103,10.0,0.9690909090909092,0.8934044380816035,0.0
32.0,Female,Single,Post Graduate,130400.0,Private,1.7,Large Indian,Family,0.0,2,1,0.0,18300.0,17700.0,20900.0,14000.0,No,0.0,717.0,1029900.0,226300.0,E-commerce Shopping EMI,183000.0,18,Eligible,32725.0,70900.0,59500.0,0.0,0.5437116564417178,0.4562883435582822,9.633435582822086,1.7,0.7581818181818182,0.8187122141662018,0.0
38.0,Female,Married,Post Graduate,47500.0,Private,2.9,MNC,Rented,10800.0,4,3,0.0,0.0,5100.0,9700.0,4600.0,No,0.0,783.0,338300.0,110500.0,Home Appliances EMI,65000.0,9,Eligible,11418.0,30200.0,17300.0,0.0,0.6357894736842106,0.3642105263157895,9.44842105263158,2.9,0.8781818181818182,0.8362966507177034,0.0
58.0,Female,Married,Professional,123700.0,Government,11.2,MNC,Family,0.0,4,3,4000.0,0.0,6200.0,30900.0,9700.0,Yes,23100.0,613.0,529600.0,214700.0,Education EMI,216000.0,20,Eligible,15338.4,73900.0,49800.0,0.1867421180274858,0.597413096200485,0.4025869037995149,6.016976556184317,13.44,0.419090909090909,0.7062446534871758,2.138888888888889
